,Datetime,Tweet Id,Text,Username,Like Count,Display Name,Language
291,2022-02-04 18:17:14+00:00,1489664360968511498,"A commonly asked question about personal injury cases is what type of compensation you will be entitled to. Full compensation might include payment of medical bills, pain and suffering, mental anguish, loss of ability to enjoy life, lost wages, and diminished earning capacity.",IncDonald,0,"Donald E. Barrows, Inc.",en
292,2022-02-04 18:11:26+00:00,1489662901443088385,@aimlessmagneto @rupasubramanya How's the mental anguish this has brought onto those people in those neighborhoods?  A few good deeds doesn't give them the right to hold Canadians up until their demands are met.,JamieHo64039936,0,Jamie Hoover,en
293,2022-02-04 18:10:29+00:00,1489662658546700292,"woman at the checkout in dunnes stopped to inspect the digestives i was buying and noticing they'd come open she said to me ""i think your biccies are broken :("" and i heard the little dundy in my brain wail in anguish",longbhriste,17,JIM,en
294,2022-02-04 18:08:03+00:00,1489662049181474817,Fresh anguish for Paulina Dembska's family after repatriation delay https://t.co/BgjCm8WvjR,danielessienz,0,Daniel Zion Essien,en
295,2022-02-04 18:06:10+00:00,1489661574080081922,well at least I’m not as into her as I was two and a half years ago but I can hear a lot of her wlw reply gals crying out in anguish from here,Jbandos,12,"Jaclyn, Barriss Offee Apologist",en
296,2022-02-04 18:04:18+00:00,1489661102351073281,"No other song captures the essence of my anguish &amp; pain while driving in Lahore everyday. Of course, the left &amp; right are swapped in our case. 

https://t.co/zzjDptkI3L",BastiMithuSahab,0,Wolfgang Von Volt,en
297,2022-02-04 18:03:42+00:00,1489660954254082048,"Didn't imagine mama told me the ability to
https://t.co/xnGYo3FRXM
Of anguish, little child in the
ï»¿https://t.co/C3nHuJ0Fqe",itsmesantine,0,kristine america,en
298,2022-02-04 18:02:26+00:00,1489660636460199939,"@batpoet I see nothing remotely amusing about this cry of anguish, Louise.",i_am_mill_i_am,1,Andy Miller,en
299,2022-02-04 18:02:14+00:00,1489660583049793536,@jkenney About time Mr Kenney. Now lift the ridiculous employment mandates for vaccinations and get those people back to work and apologize to them for 4 months of mental anguish under the discrimination and segregation of vac passes and mandates that did absolutely nothing to curb spread,ApocnowDunc,0,Geordy Duncan,en
300,2022-02-04 18:00:54+00:00,1489660248080142339,"Have power. complaints. Zip your mouth shut? I would rather
https://t.co/JpZkVnPlqm
Anguish, in weigh up and seeking
ï»¿https://t.co/ZQyflK2YaE",akka_jhie,0,akka,en
